제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
기아주식회사,셀토스(SP2),7/8/19,10/21/20,7/11/22,"브레이크 진공펌프 내 메쉬필터의 설계오류로 오일 공급이 제대로 되지 않아 진공펌프가 고착되고, 이로 인해 진공압이 형성되지 않아 제동 시 브레이크 페달을 평상시대로 밟을 경우 제동거리가 길어질 가능성"
현대자동차(주),코나(OS),3/29/18,8/27/20,7/11/22,디젤1.6 엔진 장착 일부 차량에서 연료필터 설계오류(유리섬유 성분 사용)로 인해 여과지의 유리섬유 성분이 탈락되어 고압펌프로 유입되면 고압펌프의 내부부품(구동부)이 손상되어 연료 분사가 정상적으로 작동되지 않아 시동이 꺼질 가능성
현대자동차(주),투싼(TL),7/10/18,9/28/20,7/11/22,디젤1.6 엔진 장착 일부 차량에서 연료필터 설계오류(유리섬유 성분 사용)로 인해 여과지의 유리섬유 성분이 탈락되어 고압펌프로 유입되면 고압펌프의 내부부품(구동부)이 손상되어 연료 분사가 정상적으로 작동되지 않아 시동이 꺼질 가능성
현대자동차(주),코나(OS),1/8/19,6/29/20,7/11/22,"브레이크 진공펌프 내 메쉬필터의 설계오류로 오일 공급이 제대로 되지 않아 진공펌프가 고착되고, 이로 인해 진공압이 형성되지 않아 제동 시 브레이크 페달을 평상시대로 밟을 경우 제동거리가 길어질 가능성"
현대자동차(주),투싼(TL),12/15/18,6/23/20,7/11/22,"브레이크 진공펌프 내 메쉬필터의 설계오류로 오일 공급이 제대로 되지 않아 진공펌프가 고착되고, 이로 인해 진공압이 형성되지 않아 제동 시 브레이크 페달을 평상시대로 밟을 경우 제동거리가 길어질 가능성"
포드세일즈서비스코리아(유),2015년식 Mustang GT 5.0,9/16/14,6/11/15,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2015년식 Mustang 2.3,11/5/14,7/24/15,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2014-2015년식 MKZ Hybrid,11/11/13,3/18/15,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2014-2015년식 MKZ,10/1/13,3/13/15,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2014-2015년식 Fusion Hybrid,10/23/13,8/5/14,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2014-2015년식 Fusion,10/23/13,11/11/14,7/13/22,"일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다."
포드세일즈서비스코리아(유),2015년식 Escape,8/16/14,2/2/15,7/13/22,일부 2015년식 Escape 차량은 변속기 레버 부싱의 내구성 부족으로 부싱이 손상되어 변속기의 기어가 정상적으로 변속되지 않을 수 있습니다. 이로 인해 주차 중 차량이 의도치 않게 움직여 사고가 발생할 가능성이 있어 제작결함을 시정하고자 합니다.
폭스바겐그룹코리아 주식회사,우라칸,4/28/22,5/3/22,7/13/22,운전석 측 도어 외측 손잡이의 잠금해제 케이블에 조립 된 안전 클립이 올바르게 체결되지 않았을 수 있습니다.
포드세일즈서비스코리아(유),2022년식 Explorer FHEV,10/6/21,4/11/22,7/13/22,"일부 2020-2022년식 Explorer PHEV, FHEV 차량은 후륜 차동기어 고정 볼트 조립 불량으로 주행 중 볼트가 손상되어 후륜 차동기어 하우징(케이스)에 고정되어 있는 구동축이 주행 중 분리되거나 경사로에 주차시 차량이 움직여 사고가 발생할 가능성이 있습니다."
포드세일즈서비스코리아(유),2020-2021년식 Explorer PHEV,11/20/20,10/12/21,7/13/22,"일부 2020-2022년식 Explorer PHEV, FHEV 차량은 후륜 차동기어 고정 볼트 조립 불량으로 주행 중 볼트가 손상되어 후륜 차동기어 하우징(케이스)에 고정되어 있는 구동축이 주행 중 분리되거나 경사로에 주차시 차량이 움직여 사고가 발생할 가능성이 있습니다."
혼다코리아(주),GL1800,4/3/20,7/6/20,7/14/22,시동상태를 유지하는 프로그램 오류로 인해 주행중 클러치 레버 조작시 시동이 꺼질 가능성이 있습니다.
르노코리아자동차 주식회사,MASTER,7/25/18,10/7/21,7/14/22,"국토교통부가 시행한 2021년 자기인증 적합조사 결과, MASTER 차량의 방향지시등이 긴급제동신호에 의해 등화될 때 그 발생 신호 주기가 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제 15 (제동장치) 10항의 작동기준을 만족하지 못함"
메르세데스벤츠코리아(주),A 250 4MATIC,6/28/19,3/2/20,7/15/22,후방 카메라의 소프트웨어 오류로 인하여 차량의 후진 기어 작동 시 후방 영상이 중앙 디스플레이에 표시되지 않을 수 있습니다. 후방 디스플레이에는 현재의 화면이 계속 표시되거나 후방 카메라 시스템의 작동 불가 메시지와 함께 검은색 화면이 표시될 수 있습니다.
메르세데스벤츠코리아(주),A 200 d,5/21/19,2/11/20,7/15/22,후방 카메라의 소프트웨어 오류로 인하여 차량의 후진 기어 작동 시 후방 영상이 중앙 디스플레이에 표시되지 않을 수 있습니다. 후방 디스플레이에는 현재의 화면이 계속 표시되거나 후방 카메라 시스템의 작동 불가 메시지와 함께 검은색 화면이 표시될 수 있습니다.
메르세데스벤츠코리아(주),GLE 450 4MATIC,9/10/18,9/18/18,7/15/22,후방 카메라의 소프트웨어 오류로 인하여 차량의 후진 기어 작동 시 후방 영상이 중앙 디스플레이에 표시되지 않을 수 있습니다. 후방 디스플레이에는 현재의 화면이 계속 표시되거나 후방 카메라 시스템의 작동 불가 메시지와 함께 검은색 화면이 표시될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,10/2/18,10/2/18,7/15/22,후방 카메라의 소프트웨어 오류로 인하여 차량의 후진 기어 작동 시 후방 영상이 중앙 디스플레이에 표시되지 않을 수 있습니다. 후방 디스플레이에는 현재의 화면이 계속 표시되거나 후방 카메라 시스템의 작동 불가 메시지와 함께 검은색 화면이 표시될 수 있습니다.
스텔란티스코리아주식회사,짚그랜드체로키,8/27/21,8/30/21,7/20/22,"가압력 기준값을 잘못 설정하여, EGR밸브 워셔링이 정상 가압력 기준값 이하로 제작되어, EGR밸브 워셔링이 내부 압력을 버티지 못하고 EGR 밸브에서 분리될 수 있습니다"
현대자동차(주),유니버스(PY),1/3/19,6/28/22,7/21/22,자동차안정성제어장치 소프트웨어 경고등 점등 조건 반영 오류로 인해 차량 정차 시 자동차안정성제어장치 경고등 점등 안전기준을 만족하지 못하는 결함
기아주식회사,그랜버드(GZ),1/3/19,6/30/22,7/21/22,자동차안정성제어장치 소프트웨어 경고등 점등 조건 반영 오류로 인해 차량 정차 시 자동차안정성제어장치 경고등 점등 안전기준을 만족하지 못하는 결함
현대자동차(주),더 뉴 팰리세이드,5/4/22,7/12/22,7/21/22,8속 자동 변속기 사양 변경 에 따른 ECU 소프트웨어 반영 오류로 저속 타력주행 구간에서 엔진 RPM 떨어짐
비엠더블유코리아(주),BMW 218d Active Tourer,3/20/21,7/8/22,7/22/22,"에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류를 발견하였습니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시, 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다."
현대자동차(주),일렉시티 수소전기버스(CY),5/15/19,11/9/21,7/22/22,"현대자동차(주) 일렉시티 수소전기버스(CY), 엑시언트 수소전기트럭(QZ) 일부 차량에서 수소 감지센서의 내부 소재(촉매)의 성능 저하로 인해 수소가스 누출시 센서가 감지하지 못하면 수소누출 경고등이 점등되지 않아 탑승자가 이를 인지하지 못하여 안전에 지장을 줄 가능성으로 리콜 실시"
현대자동차(주),엑시언트 수소전기트럭(QZ),12/7/21,12/8/21,7/22/22,"현대자동차(주) 일렉시티 수소전기버스(CY), 엑시언트 수소전기트럭(QZ) 일부 차량에서 수소 감지센서의 내부 소재(촉매)의 성능 저하로 인해 수소가스 누출시 센서가 감지하지 못하면 수소누출 경고등이 점등되지 않아 탑승자가 이를 인지하지 못하여 안전에 지장을 줄 가능성으로 리콜 실시"
현대자동차(주),아반떼 N-Line(CN7 N-Line),8/24/20,5/14/22,7/22/22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼 N(CN7 N),6/24/21,5/16/22,7/22/22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼 하이브리드(CN7 HEV),8/12/20,5/18/22,7/22/22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼(CN7),3/11/20,5/16/22,7/22/22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
메르세데스벤츠코리아(주),E 400 4MATIC Coup?,11/17/16,12/19/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 400 4MATIC,4/9/16,1/31/17,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG E 43 4MATIC,5/10/16,1/24/17,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 300 4MATIC,7/12/16,1/31/17,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 300,8/8/16,12/21/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 350 d,12/22/15,12/22/15,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 200 Convertible,12/15/16,12/15/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 300,1/18/16,1/18/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 300 4MATIC,9/30/14,9/30/14,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 200,8/5/14,2/27/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 250 d 4MATIC,5/27/15,11/16/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 220 d 4MATIC,2/10/16,2/29/16,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 220 d,7/15/14,7/3/15,7/29/22,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
기아주식회사,EV6(CV),7/12/21,5/3/22,8/1/22,전자식변속제어장치(SCU) 로직 미흡으로 인해 경사로 주차 중 변속장치의 주차유지(P단)가 해제되면서 차량 전/후방 밀림
(주)다산중공업,다산중공업 CT 300L Super2 고소작업차,1/11/17,12/27/17,8/4/22,"미인증 부착물인 인버터, 전선릴, 에어호스, 경광등, 버켓탈부착 브라켓, 보조배터리, 고임목 수목함, 에어콤프레셔등 추가설치 및 구조물 보강등으로 총 중량 초과"
비엠더블유코리아(주),iX xDrive50,9/1/20,6/30/22,8/5/22,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),iX xDrive40,8/2/21,11/18/21,8/5/22,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),iX M60,3/29/22,5/16/22,8/5/22,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),218d Active Tourer,6/17/22,7/18/22,8/5/22,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
포드세일즈서비스코리아(유),2021년식 Expedition,11/19/20,8/31/21,8/5/22,일부 2021년식 Expedition 차량은 퓨즈 박스 내에 일부 엔진 냉각수 냉각휀 릴레이* 접지 회로의 코팅 불량으로 인한 부식으로 과열이 발생하여 화재가 발생할 가능성이 있습니다.
현대자동차(주),엑시언트(QZ),7/26/16,5/13/21,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),뉴파워트럭(EG),2/10/17,2/6/21,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),메가트럭 와이드캡(EG),10/11/16,12/2/20,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),메가트럭(EG),4/12/17,1/14/21,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),카운티(CS),9/28/16,12/29/20,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),마이티(QT),9/8/16,2/27/21,8/11/22,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
메르세데스벤츠코리아(주),Mercedes-AMG EQS 53 4MATIC+,7/14/21,7/14/21,8/12/22,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 450 4MATIC,10/25/21,10/25/21,8/12/22,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 450+,3/15/21,2/3/22,8/12/22,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 350,9/7/21,9/7/21,8/12/22,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQE 350+,12/10/21,12/21/21,8/12/22,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
비엠더블유코리아(주),BMW i4 eDrive40,11/24/21,6/1/22,8/19/22,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW iX M60,3/30/22,3/30/22,8/19/22,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW i4 M50,11/23/21,6/23/22,8/19/22,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW iX xDrive50,12/17/21,6/27/22,8/19/22,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
스텔란티스코리아주식회사,DS3 Crossback E-tense Electric,1/20/20,1/27/22,8/23/22,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Peugeot e-2008 Electric,1/23/19,3/25/22,8/23/22,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Peugeot e-208 Electric,1/16/20,4/14/22,8/23/22,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Citroen C5 Aircross 1.5 BlueHDi,6/20/18,6/16/20,8/23/22,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
스텔란티스코리아주식회사,Peugeot 508 SW 1.5 BlueHDi,9/23/19,9/23/19,8/23/22,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
스텔란티스코리아주식회사,Peugeot 508 1.5 BlueHDi,6/20/18,6/16/20,8/23/22,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
포드세일즈서비스코리아(유),2021년 Navigator,11/20/20,8/31/21,8/24/22,"일부 2021년식 Navigator 차량은 퓨즈 박스 내에 일부 엔진 냉각수 냉각휀 릴레이* 접지 회로의 코팅 불량으로 인한 부식으로 과열이 발생하여 화재가 발생할 가능성이 있어 제작결함을 시정하고자 합니다. *릴레이: 특정 신호에 의해 전기 회로를 열거나 닫는 장치. *2022년 5월 30일 사전 보고 시에는 대상대수가 Expedition 174대, Navigator 183대로서 2020년 12월 1일부터 2021년 4월 30일 사이에 생산된 차량 중 국내에 수입된 차량이었으나, 이중 Expedition 174대는 2022년 8월 5일부터 실시한 22S48 결함 시정으로 포함되어 공지 되었습니다. 그리고 해당 시정 조치의 대상 범위가 2020년 12월 1일부터 2021년 4월 30일 사이에 생산된 차량에서 2020년 7월부터 2021년 8월 사이에 생산된 차량으로 확대되며 Navigator 차량의 대상대수가 183대에서 247대로 확대되었습니다."
현대자동차(주),베뉴(QX),6/27/19,6/22/22,8/25/22,베뉴(QX) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성
